date,state,regime,prob_Risk-On,prob_Late-Cycle,prob_Transitional,prob_Post-Shock,prob_Risk-Off
2011-08-26,3,Post-Shock,4.823013343523946e-25,2.0894463380274453e-21,4.633728948135663e-18,0.999999999827196,1.7209135827202038e-10
2011-08-29,3,Post-Shock,1.9468715528246905e-22,7.302018248268373e-19,1.585985081564844e-15,0.9999999682731872,3.1726621611970986e-08
2011-08-30,3,Post-Shock,3.817290892584434e-21,1.3542374328666053e-17,2.8344672609145243e-14,0.9999998816238146,1.1837545794960385e-07
2011-09-02,3,Post-Shock,8.213879202810892e-21,2.6515084486809738e-17,5.775454573004297e-14,0.999999556015708,4.439842671514568e-07
2011-09-05,3,Post-Shock,6.650819522637998e-21,1.9076594149996412e-17,3.768101818544055e-14,0.9999996081515604,3.918483340506073e-07
2011-09-06,3,Post-Shock,5.51496054766038e-19,1.6457457850003944e-15,2.6846216137616367e-12,0.9999998420517056,1.5794471434086482e-07
2011-09-07,3,Post-Shock,1.1597401509936162e-16,3.035167816453529e-13,4.5104719467372887e-10,0.999996088220007,3.911327833018388e-06
2011-09-08,3,Post-Shock,5.294870405874559e-14,1.9432608337526704e-11,2.301677090364972e-08,0.9999746492206332,2.53277425664028e-05
2011-09-09,3,Post-Shock,9.857830594515073e-14,1.2389325197501517e-12,1.4151364961118066e-09,0.9999598525265636,4.014605610155925e-05
2011-09-12,3,Post-Shock,3.6681762386624023e-14,3.223322261381125e-13,3.8911476729061526e-10,0.9999979921851412,2.0074249327068586e-06
2011-09-13,3,Post-Shock,2.78811734557562e-15,5.881122085224183e-13,8.289835555177227e-10,0.999989226223818,1.0772946304257402e-05
2011-09-14,3,Post-Shock,8.452100397141801e-15,1.316128574176019e-12,1.8258926123954355e-09,0.9999776360282002,2.23621453151438e-05
2011-09-15,3,Post-Shock,1.2267947748103014e-13,4.56822754818036e-12,5.523740702600744e-09,0.9999885624692232,1.143200278523227e-05
2011-09-16,3,Post-Shock,5.127595686690673e-13,6.630925589182634e-12,7.459426367158765e-09,0.9999906814953085,9.311038178739046e-06
2011-09-19,3,Post-Shock,4.666839462560336e-14,3.1967940106241774e-13,3.5325439177658885e-10,0.9999936724089016,6.327237796174879e-06
2011-09-20,3,Post-Shock,1.1108206036216675e-13,1.4362953247190774e-12,1.140117519081736e-09,0.9999988854912616,1.1133677060541726e-06
2011-09-21,3,Post-Shock,4.3261288248182295e-12,1.0865466727834935e-11,7.336198244405621e-09,0.999999752912148,2.3973584863387983e-07
2011-09-22,3,Post-Shock,1.5120802989386287e-14,1.8801976101526863e-14,1.1222368516308376e-11,0.9999995319013764,4.680880117360137e-07
2011-09-23,3,Post-Shock,2.786196140903494e-18,5.704102048853774e-16,1.0167736080723409e-12,0.9999996538372816,3.4616213020800664e-07
2011-09-26,3,Post-Shock,8.000776011742371e-20,7.129114644881697e-17,1.175836093830688e-13,0.999999823949126,1.7605042887152317e-07
